
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 379.94;  -12.350;   -8.000;    0.000
 380.54;   -7.700;  -18.000;    0.000
 381.13;  -13.950;  -32.000;    0.000
 381.73;   -1.650;  -42.000;    0.000
 382.32;  -14.850;   13.000;    0.000
 382.92;   -2.300;  -63.000;    0.000
 383.52;  -15.000;  -32.000;    0.000
 384.11;  -11.500;   31.000;    0.000
 384.71;   -0.900;  -54.000;    0.000
 385.30;   -8.600;    2.000;    0.000
 385.90;    2.900;  -67.000;    0.000
 386.49;   -3.950;   11.000;    0.000
 387.09;   -6.600;  -20.000;    0.000
 387.68;  -10.900;  -10.000;    0.000
 388.28;   -6.250;  -14.000;    0.000
 388.87;   11.000;   26.000;    0.000
 389.47;   -9.800;  -44.000;    0.000
 390.07;  -15.350;  -31.000;    0.000
 390.66;  -18.900;  -42.000;    0.000
 391.26;  -16.300;   -8.000;    0.000
 391.85;    3.400;   -6.000;    0.000
 392.45;   -9.850;  -61.000;    0.000
 393.04;   -2.700;  -21.000;    0.000
 393.64;    4.150;    0.000;    0.000
 394.23;  -15.050;  -23.000;    0.000
 394.83;   -6.650;   14.000;    0.000
 395.42;   -5.900;  -26.000;    0.000
 396.02;   -6.700;  -27.000;    0.000
 396.61;   -3.300;  -81.000;    0.000
 397.21;  -14.900;   24.000;    0.000
 397.80;  716.050;   64.000;    0.000
 398.40;   -5.450;  -34.000;    0.000
 398.99;   -6.650;    5.000;    0.000
 399.59;  -17.700;  -27.000;    0.000
 400.18;   -6.450;  -29.000;    0.000
 400.78;   -4.150;   53.000;    0.000
 401.37;   -8.650;    2.000;    0.000
 401.96;   -7.550;  -10.000;    0.000
 402.56;  -22.250;    3.000;    0.000
 403.15;  -18.250;  -25.000;    0.000
 403.75;   -6.450;  -23.000;    0.000
 404.34;    0.050;  -12.000;    0.000
 404.94;  -22.900;    4.000;    0.000
 405.53;   -4.100;   25.000;    0.000
 406.13;  -20.850;  -22.000;    0.000
 406.72;    3.200;  -10.000;    0.000
 407.32;  -10.550;  -31.000;    0.000
 407.91;    2.600;  -49.000;    0.000
 408.50;  -23.300;  -21.000;    0.000
 409.10;   -8.400;  -10.000;    0.000
 409.69;    0.800;   -4.000;    0.000
 410.29;  -11.750;   -6.000;    0.000
 410.88;  -10.000;   -6.000;    0.000
 411.47;  -12.100;  -17.000;    0.000
 412.07;  -12.800;  -24.000;    0.000
