
Integration time [ms]:   1.050
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 403.15;  260.500;  -25.000;    0.000
 403.75;  285.550;  -23.000;    0.000
 404.34;  277.950;  -12.000;    0.000
 404.94;  300.050;    4.000;    0.000
 405.53;  299.850;   25.000;    0.000
 406.13;  316.950;  -22.000;    0.000
 406.72;  306.500;  -10.000;    0.000
 407.32;  320.750;  -31.000;    0.000
 407.91;  327.150;  -49.000;    0.000
 408.50;  342.500;  -21.000;    0.000
 409.10;  342.300;  -10.000;    0.000
 409.69;  357.550;   -4.000;    0.000
 410.29;  351.650;   -6.000;    0.000
 410.88;  384.000;   -6.000;    0.000
 411.47;  364.500;  -17.000;    0.000
 412.07;  383.000;  -24.000;    0.000
 412.66;  374.000;  -35.000;    0.000
 413.26;  419.350;   -4.000;    0.000
 413.85;  422.000;   -2.000;    0.000
 414.45;  431.700;  -44.000;    0.000
 415.04;  410.050;   11.000;    0.000
 415.63;  437.650;    1.000;    0.000
 416.23;  457.550;   29.000;    0.000
 416.82;  462.100;  -30.000;    0.000
 417.41;  441.550;   61.000;    0.000
 418.01;  476.000;    0.000;    0.000
 418.60;  457.850;  -30.000;    0.000
 419.20;  500.150;    3.000;    0.000
 419.79;  479.800;   58.000;    0.000
 420.38;  503.050;  -77.000;    0.000
 420.98;  487.250;  -23.000;    0.000
 421.57;  509.750;  -36.000;    0.000
 422.16;  495.000;  -11.000;    0.000
 422.76;  523.050;   12.000;    0.000
 423.35;  533.900;   11.000;    0.000
 423.94;  522.050;  -11.000;    0.000
 424.54;  556.200;    7.000;    0.000
 425.13;  584.400;  -33.000;    0.000
 425.73;  583.150;    7.000;    0.000
 426.32;  575.400;   28.000;    0.000
 426.91;  594.150;  -26.000;    0.000
 427.51;  607.950;    6.000;    0.000
 428.10;  593.450;   -9.000;    0.000
 428.69;  647.600;  -50.000;    0.000
 429.28;  644.000;  -19.000;    0.000
 429.88;  666.300;    6.000;    0.000
 430.47;  669.350;  -30.000;    0.000
 431.06;  675.600;    6.000;    0.000
 431.66;  694.500;    4.000;    0.000
 432.25;  730.150;  -31.000;    0.000
 432.84;  734.250;   -6.000;    0.000
 433.44;  739.550;  -36.000;    0.000
 434.03;  779.150;  -24.000;    0.000
 434.62;  770.700;  -17.000;    0.000
 435.22;  805.900;  -12.000;    0.000
 435.81;  828.550;   42.000;    0.000
 436.40;  835.200;   15.000;    0.000
 436.99;  846.700;  -45.000;    0.000
 437.59;  834.500;  -21.000;    0.000
 438.18;  881.950;   35.000;    0.000
 438.77;  877.450;   12.000;    0.000
 439.36;  874.950;  -36.000;    0.000
 439.96;  876.100;   19.000;    0.000
 440.55;  915.250;    2.000;    0.000
 441.14;  919.400;   -5.000;    0.000
 441.73;  919.800;    5.000;    0.000
 442.33;  929.700;   23.000;    0.000
 442.92;  945.600;  -10.000;    0.000
 443.51;  946.400;    0.000;    0.000
 444.10;  960.850;  -12.000;    0.000
 444.70;  980.150;  -46.000;    0.000
 445.29;  974.450;  -10.000;    0.000
 445.88;  999.100;   36.000;    0.000
 446.47;  997.000;    5.000;    0.000
 447.07; 1017.350;    7.000;    0.000
 447.66; 1028.200;   20.000;    0.000
 448.25; 1052.800;   -8.000;    0.000
 448.84; 1041.550;   15.000;    0.000
 449.43; 1046.950;   54.000;    0.000
 450.03; 1083.250;  -30.000;    0.000
 450.62; 1111.700;   29.000;    0.000
 451.21; 1134.700;   87.000;    0.000
 451.80; 1112.600;   25.000;    0.000
 452.39; 1150.000;   44.000;    0.000
 452.99; 1168.400;   54.000;    0.000
 453.58; 1212.050;   -5.000;    0.000
 454.17; 1214.000;   27.000;    0.000
 454.76; 1240.650;    1.000;    0.000
 455.35; 1275.800;  -19.000;    0.000
 455.95; 1290.050;   66.000;    0.000
 456.54; 1340.250;   11.000;    0.000
 457.13; 1394.200;    4.000;    0.000
 457.72; 1378.100;   40.000;    0.000
 458.31; 1423.900;   15.000;    0.000
 458.90; 1464.900;   12.000;    0.000
 459.50; 1493.600;   18.000;    0.000
 460.09; 1512.050;   45.000;    0.000
 460.68; 1540.250;   45.000;    0.000
 461.27; 1573.350;   39.000;    0.000
 461.86; 1634.150;    3.000;    0.000
 462.45; 1632.300;   10.000;    0.000
 463.04; 1656.700;   47.000;    0.000
 463.64; 1653.800;   48.000;    0.000
 464.23; 1738.800;    4.000;    0.000
 464.82; 1728.200;  -29.000;    0.000
 465.41; 1797.250;   34.000;    0.000
 466.00; 1777.650;  -25.000;    0.000
 466.59; 1810.400;    1.000;    0.000
 467.18; 1821.850;    3.000;    0.000
 467.77; 1804.900;  -18.000;    0.000
 468.37; 1865.900;  -44.000;    0.000
 468.96; 1920.300;  -14.000;    0.000
 469.55; 1905.550;   -4.000;    0.000
 470.14; 1970.250;   30.000;    0.000
 470.73; 1989.100;  -14.000;    0.000
 471.32; 2048.800;   11.000;    0.000
 471.91; 2073.350;   -4.000;    0.000
 472.50; 2121.350;  -17.000;    0.000
 473.09; 2132.400;    8.000;    0.000
 473.68; 2201.800;  -12.000;    0.000
 474.27; 2216.100;  -11.000;    0.000
 474.86; 2278.450;   -7.000;    0.000
 475.46; 2325.300;  -35.000;    0.000
 476.05; 2373.800;  -21.000;    0.000
 476.64; 2410.100;   21.000;    0.000
 477.23; 2450.050;   27.000;    0.000
 477.82; 2523.250;   30.000;    0.000
 478.41; 2569.100;  -57.000;    0.000
 479.00; 2632.900;  -17.000;    0.000
 479.59; 2687.250;  -75.000;    0.000
 480.18; 2766.950;  -23.000;    0.000
 480.77; 2795.100;   10.000;    0.000
 481.36; 2878.250;   39.000;    0.000
 481.95; 2924.600;  -22.000;    0.000
 482.54; 2998.500;   34.000;    0.000
 483.13; 3076.100;  -21.000;    0.000
 483.72; 3152.850;    4.000;    0.000
 484.31; 3213.300;   18.000;    0.000
 484.90; 3281.650;   14.000;    0.000
 485.49; 3347.000;   60.000;    0.000
 486.08; 3386.150;   41.000;    0.000
 486.67; 3473.200;   13.000;    0.000
 487.26; 3520.500;   28.000;    0.000
 487.85; 3635.600;    8.000;    0.000
 488.44; 3686.050;   25.000;    0.000
 489.03; 3755.350;  -47.000;    0.000
 489.62; 3798.900;    2.000;    0.000
 490.21; 3929.500;   33.000;    0.000
 490.80; 3968.300;   59.000;    0.000
 491.39; 4028.850;  -27.000;    0.000
 491.98; 4087.900;   38.000;    0.000
 492.57; 4161.850;   -6.000;    0.000
 493.16; 4209.700;   -4.000;    0.000
 493.75; 4269.950;   26.000;    0.000
 494.34; 4314.550;   24.000;    0.000
 494.93; 4403.400;   32.000;    0.000
 495.52; 4485.150;   12.000;    0.000
 496.11; 4471.100;   39.000;    0.000
 496.70; 4583.400;   66.000;    0.000
 497.29; 4626.050;   61.000;    0.000
 497.88; 4665.900;   59.000;    0.000
 498.47; 4645.100;  -23.000;    0.000
 499.06; 4716.100;   63.000;    0.000
 499.64; 4784.200;   14.000;    0.000
 500.23; 4798.950;   -8.000;    0.000
 500.82; 4851.500;   38.000;    0.000
 501.41; 4862.300;   50.000;    0.000
 502.00; 4880.300;   48.000;    0.000
 502.59; 4950.850;   50.000;    0.000
 503.18; 5000.200;   43.000;    0.000
 503.77; 5004.200;   24.000;    0.000
 504.36; 4978.200;   26.000;    0.000
 504.95; 5037.650;    9.000;    0.000
 505.54; 5072.400;   18.000;    0.000
 506.12; 5144.700;  -13.000;    0.000
 506.71; 5187.300;   49.000;    0.000
 507.30; 5216.850;    6.000;    0.000
 507.89; 5249.550;   61.000;    0.000
 508.48; 5306.850;   90.000;    0.000
 509.07; 5294.500;   42.000;    0.000
 509.66; 5395.750;   26.000;    0.000
 510.25; 5432.950;   60.000;    0.000
 510.84; 5519.850;   82.000;    0.000
 511.42; 5549.850;   66.000;    0.000
 512.01; 5608.700;   24.000;    0.000
 512.60; 5673.050;   18.000;    0.000
 513.19; 5670.900;   67.000;    0.000
 513.78; 5765.050;   -2.000;    0.000
 514.37; 5811.650;   64.000;    0.000
 514.95; 5859.600;   81.000;    0.000
 515.54; 5824.600;   28.000;    0.000
 516.13; 6006.950;   44.000;    0.000
 516.72; 6028.350;   72.000;    0.000
 517.31; 6060.200;   17.000;    0.000
 517.90; 6150.100;   72.000;    0.000
 518.48; 6161.650;   -1.000;    0.000
 519.07; 6310.750;   25.000;    0.000
 519.66; 6350.800;   55.000;    0.000
 520.25; 6352.100;   36.000;    0.000
 520.84; 6494.900;   21.000;    0.000
 521.43; 6596.600;   13.000;    0.000
 522.01; 6645.500;  -31.000;    0.000
 522.60; 6629.550;   81.000;    0.000
 523.19; 6802.850;   27.000;    0.000
 523.78; 6800.500;   52.000;    0.000
 524.37; 6947.450;   -3.000;    0.000
 524.95; 7058.500;   44.000;    0.000
 525.54; 7110.450;   37.000;    0.000
 526.13; 7190.300;   25.000;    0.000
 526.72; 7232.100;   27.000;    0.000
 527.30; 7293.850;   66.000;    0.000
 527.89; 7361.450;   37.000;    0.000
 528.48; 7460.900;   98.000;    0.000
 529.07; 7528.950;   33.000;    0.000
 529.65; 7550.900;   59.000;    0.000
 530.24; 7599.950;   -4.000;    0.000
 530.83; 7758.300;   16.000;    0.000
 531.42; 7764.850;   18.000;    0.000
 532.00; 7760.200;  -18.000;    0.000
 532.59; 7827.750;   70.000;    0.000
 533.18; 7898.500;   53.000;    0.000
 533.77; 7958.000;    3.000;    0.000
 534.35; 8029.250;   20.000;    0.000
 534.94; 8132.150;   36.000;    0.000
 535.53; 8124.200;   58.000;    0.000
 536.12; 8169.800;   13.000;    0.000
 536.70; 8167.950;   23.000;    0.000
 537.29; 8170.150;   83.000;    0.000
 537.88; 8199.200;   69.000;    0.000
 538.46; 8213.800;   28.000;    0.000
 539.05; 8233.200;   42.000;    0.000
 539.64; 8267.550;   66.000;    0.000
 540.23; 8254.350;   53.000;    0.000
 540.81; 8281.900;    3.000;    0.000
 541.40; 8251.250;   83.000;    0.000
 541.99; 8260.050;   62.000;    0.000
 542.57; 8337.000;   76.000;    0.000
 543.16; 8402.100;   83.000;    0.000
 543.75; 8436.500;   63.000;    0.000
 544.33; 8468.600;    2.000;    0.000
 544.92; 8530.400;   50.000;    0.000
 545.51; 8604.400;   75.000;    0.000
 546.09; 8590.700;   23.000;    0.000
 546.68; 8685.050;   36.000;    0.000
 547.27; 8658.750;   42.000;    0.000
 547.85; 8848.600;   30.000;    0.000
 548.44; 8939.150;   15.000;    0.000
 549.03; 9041.900;   88.000;    0.000
 549.61; 9112.350;   43.000;    0.000
 550.20; 9177.100;   36.000;    0.000
 550.78; 9295.050;   10.000;    0.000
 551.37; 9382.600;   60.000;    0.000
 551.96; 9449.200;   51.000;    0.000
 552.54; 9554.600;   36.000;    0.000
 553.13; 9723.000;   49.000;    0.000
 553.72; 9730.550;   24.000;    0.000
 554.30; 9815.650;    9.000;    0.000
 554.89; 9870.350;   80.000;    0.000
 555.47;10071.450;   25.000;    0.000
 556.06;10179.600;   27.000;    0.000
 556.65;10155.200;   81.000;    0.000
 557.23;10274.150;   19.000;    0.000
