LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.420000,-0.420000,-1.787461300000e-10,1.050492315222e-11,10,-1.771238000000e-10;-1.618691000000e-10;-1.945275000000e-10;-1.736261000000e-10;-1.903135000000e-10;-1.756489000000e-10;-1.842454000000e-10;-1.733733000000e-10;-1.653667000000e-10;-1.913670000000e-10
0.0,-0.410000,-0.410000,-1.884804500000e-10,1.613543321552e-11,10,-1.976038000000e-10;-2.032505000000e-10;-1.846668000000e-10;-2.028712000000e-10;-1.831076000000e-10;-2.077594000000e-10;-1.641025000000e-10;-1.785144000000e-10;-1.603942000000e-10;-2.025341000000e-10
0.0,-0.400000,-0.400000,-1.920833900000e-10,1.209501413157e-11,10,-1.976037000000e-10;-1.842032000000e-10;-2.042197000000e-10;-1.823491000000e-10;-1.824755000000e-10;-2.040511000000e-10;-1.725305000000e-10;-2.087708000000e-10;-1.815484000000e-10;-2.030819000000e-10
0.0,-0.390000,-0.390000,-1.839588300000e-10,1.317128320059e-11,10,-1.733733000000e-10;-2.087708000000e-10;-1.940640000000e-10;-1.816327000000e-10;-1.740054000000e-10;-1.874902000000e-10;-1.924626000000e-10;-1.694964000000e-10;-1.943168000000e-10;-1.639761000000e-10
0.0,-0.380000,-0.380000,-1.826103700000e-10,1.784798196077e-11,10,-1.986994000000e-10;-1.879537000000e-10;-2.112149000000e-10;-1.751432000000e-10;-2.065795000000e-10;-1.665045000000e-10;-1.803264000000e-10;-1.600150000000e-10;-1.830233000000e-10;-1.566438000000e-10
0.0,-0.370000,-0.370000,-1.848353600000e-10,1.434015827871e-11,10,-1.966767000000e-10;-1.532726000000e-10;-1.745532000000e-10;-1.767023000000e-10;-1.829812000000e-10;-1.968874000000e-10;-1.868580000000e-10;-2.019863000000e-10;-1.777559000000e-10;-2.006800000000e-10
0.0,-0.360000,-0.360000,-1.802210100000e-10,1.151635693676e-11,10,-1.678530000000e-10;-1.982358000000e-10;-1.879958000000e-10;-1.917041000000e-10;-1.611106000000e-10;-1.738790000000e-10;-1.715191000000e-10;-1.874058000000e-10;-1.890493000000e-10;-1.734576000000e-10
0.0,-0.350000,-0.350000,-1.807182800000e-10,1.596920458174e-11,10,-2.007642000000e-10;-1.951596000000e-10;-1.789358000000e-10;-1.748482000000e-10;-1.584979000000e-10;-1.843297000000e-10;-1.648189000000e-10;-2.047675000000e-10;-1.578658000000e-10;-1.871952000000e-10
0.0,-0.340000,-0.340000,-1.784300500000e-10,1.722035554588e-11,10,-1.596357000000e-10;-1.908192000000e-10;-2.002585000000e-10;-1.724462000000e-10;-1.986572000000e-10;-1.607313000000e-10;-1.964659000000e-10;-1.614898000000e-10;-1.881222000000e-10;-1.556745000000e-10
0.0,-0.330000,-0.330000,-1.774102700000e-10,1.751253325662e-11,10,-2.021127000000e-10;-1.472044000000e-10;-1.874901000000e-10;-1.567702000000e-10;-1.848353000000e-10;-1.633018000000e-10;-2.019441000000e-10;-1.729519000000e-10;-1.870266000000e-10;-1.704656000000e-10
