LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
3.5,-0.110000,-0.110000,7.292493800000e-08,5.264822278254e-10,10,7.257809000000e-08;7.330087000000e-08;7.360891000000e-08;7.234184000000e-08;7.252407000000e-08;7.339170000000e-08;7.229239000000e-08;7.231406000000e-08;7.341848000000e-08;7.347897000000e-08
3.5,-0.100000,-0.100000,7.502131100000e-08,5.466147833612e-10,10,7.485441000000e-08;7.433891000000e-08;7.524951000000e-08;7.569552000000e-08;7.434149000000e-08;7.527314000000e-08;7.516621000000e-08;7.560156000000e-08;7.412399000000e-08;7.556837000000e-08
3.5,-0.090000,-0.090000,7.689922300000e-08,5.519040143186e-10,10,7.606065000000e-08;7.753632000000e-08;7.612276000000e-08;7.752071000000e-08;7.698600000000e-08;7.713668000000e-08;7.628290000000e-08;7.760055000000e-08;7.694604000000e-08;7.679962000000e-08
3.5,-0.080000,-0.080000,7.939273000000e-08,5.025155061488e-10,10,7.976012000000e-08;7.964592000000e-08;7.848357000000e-08;7.846182000000e-08;7.968288000000e-08;7.979453000000e-08;7.974081000000e-08;7.917991000000e-08;7.932059000000e-08;7.985715000000e-08
3.5,-0.070000,-0.070000,8.123410400000e-08,6.313965848055e-10,10,8.182327000000e-08;8.138803000000e-08;8.136435000000e-08;8.187909000000e-08;8.051880000000e-08;8.187007000000e-08;8.055827000000e-08;8.030069000000e-08;8.199902000000e-08;8.063945000000e-08
3.5,-0.060000,-0.060000,8.346015600000e-08,5.522781631424e-10,10,8.288195000000e-08;8.297213000000e-08;8.254268000000e-08;8.387470000000e-08;8.390592000000e-08;8.283502000000e-08;8.367505000000e-08;8.412575000000e-08;8.382875000000e-08;8.395961000000e-08
3.5,-0.050000,-0.050000,8.492223300000e-08,3.279111596469e-10,10,8.519788000000e-08;8.565701000000e-08;8.476464000000e-08;8.448698000000e-08;8.489740000000e-08;8.471149000000e-08;8.495814000000e-08;8.517532000000e-08;8.457763000000e-08;8.479584000000e-08
3.5,-0.040000,-0.040000,8.700356600000e-08,6.883850784437e-10,10,8.645456000000e-08;8.656598000000e-08;8.697344000000e-08;8.737383000000e-08;8.626001000000e-08;8.630400000000e-08;8.728831000000e-08;8.648883000000e-08;8.804221000000e-08;8.828449000000e-08
3.5,-0.030000,-0.030000,8.943417800000e-08,6.795732941457e-10,10,9.020042000000e-08;8.846689000000e-08;8.959973000000e-08;8.874874000000e-08;8.991677000000e-08;8.874588000000e-08;8.962091000000e-08;9.039836000000e-08;8.999356000000e-08;8.865052000000e-08
3.5,-0.020000,-0.020000,9.156809700000e-08,6.714700396004e-10,10,9.256062000000e-08;9.174442000000e-08;9.223011000000e-08;9.079532000000e-08;9.174415000000e-08;9.229928000000e-08;9.148203000000e-08;9.162320000000e-08;9.067217000000e-08;9.052967000000e-08
