LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,4.000000,4.000000,6.361064333333e-07,1.110685474031e-11,3,6.361217000000e-07;6.361020000000e-07;6.360956000000e-07
12.0,4.100000,4.100000,6.376739333333e-07,5.666470584861e-12,3,6.376692000000e-07;6.376819000000e-07;6.376707000000e-07
12.0,4.200000,4.200000,6.391602666667e-07,4.567518168792e-12,3,6.391560000000e-07;6.391666000000e-07;6.391582000000e-07
12.0,4.300000,4.300000,6.405713666667e-07,8.412820903577e-12,3,6.405828000000e-07;6.405685000000e-07;6.405628000000e-07
12.0,4.400000,4.400000,6.418998666667e-07,8.916775700288e-12,3,6.419013000000e-07;6.419100000000e-07;6.418883000000e-07
12.0,4.500000,4.500000,6.431905000000e-07,5.021951811814e-12,3,6.431843000000e-07;6.431966000000e-07;6.431906000000e-07
12.0,4.600000,4.600000,6.444127000000e-07,8.602325267026e-13,3,6.444138000000e-07;6.444126000000e-07;6.444117000000e-07
12.0,4.700000,4.700000,6.455620666667e-07,4.602414825105e-12,3,6.455684000000e-07;6.455602000000e-07;6.455576000000e-07
12.0,4.800000,4.800000,6.466849666667e-07,9.713335621157e-12,3,6.466906000000e-07;6.466930000000e-07;6.466713000000e-07
12.0,4.900000,4.900000,6.477234666667e-07,4.741542177603e-12,3,6.477291000000e-07;6.477175000000e-07;6.477238000000e-07
12.0,5.000000,5.000000,6.487248000000e-07,2.477902338667e-12,3,6.487267000000e-07;6.487264000000e-07;6.487213000000e-07
10.0,-2.000000,-2.000000,-2.602521333333e-09,1.541139540153e-11,3,-2.622735000000e-09;-2.599473000000e-09;-2.585356000000e-09
10.0,-1.900000,-1.900000,-2.569215000000e-09,6.356641303917e-12,3,-2.560828000000e-09;-2.576211000000e-09;-2.570606000000e-09
10.0,-1.800000,-1.800000,-2.546332000000e-09,3.127285191131e-12,3,-2.541992000000e-09;-2.547765000000e-09;-2.549239000000e-09
10.0,-1.700000,-1.700000,-2.536147666667e-09,6.272257027755e-12,3,-2.540306000000e-09;-2.527283000000e-09;-2.540854000000e-09
10.0,-1.600000,-1.600000,-2.522621333333e-09,5.598466059753e-13,3,-2.522861000000e-09;-2.523155000000e-09;-2.521848000000e-09
10.0,-1.500000,-1.500000,-2.507252666667e-09,5.725462096829e-12,3,-2.500691000000e-09;-2.506425000000e-09;-2.514642000000e-09
10.0,-1.400000,-1.400000,-2.474001666667e-09,2.219669094457e-12,3,-2.474016000000e-09;-2.476713000000e-09;-2.471276000000e-09
10.0,-1.300000,-1.300000,-2.452060666667e-09,1.254073326759e-11,3,-2.440767000000e-09;-2.469550000000e-09;-2.445865000000e-09
10.0,-1.200000,-1.200000,-2.397051666667e-09,1.430020210424e-11,3,-2.413458000000e-09;-2.399089000000e-09;-2.378608000000e-09
10.0,-1.100000,-1.100000,-2.312079333333e-09,2.175462300805e-12,3,-2.310801000000e-09;-2.310295000000e-09;-2.315142000000e-09
